host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,price,has_availability,review_scores_rating,instant_bookable,reviews_per_month
100%,98%,t,t,t,175,t,4.94,f,1.41
0%,0%,f,t,f,225,t,4.56,f,0.09
100%,100%,t,t,f,800,t,4.82,t,0.51
100%,100%,t,t,t,500,t,4.85,t,0.91
100%,100%,t,t,t,125,t,4.96,f,2.74
60%,36%,f,t,t,200,t,4.96,f,0.42
98%,99%,f,t,t,278,t,4.25,t,0.62
100%,17%,f,t,f,320,t,5,f,0.23
100%,100%,f,t,f,177,t,4,t,0.04
83%,80%,f,t,t,328,t,4.91,f,2.44
67%,14%,f,t,t,900,t,4.89,f,0.18
90%,100%,f,t,t,990,t,5,t,0.22
100%,100%,f,t,f,382,t,4.83,t,0.08
89%,99%,f,t,f,513,t,5,t,0.05
100%,99%,f,t,t,266,t,5,t,0.08
100%,99%,f,t,t,215,t,4.14,f,0.15
100%,47%,f,f,f,130,t,5,f,0.21
100%,100%,f,t,t,372,t,4.5,t,1.15
100%,100%,f,t,t,1119,t,4.71,t,0.13
100%,99%,t,t,t,208,t,4.89,f,3.44
100%,100%,f,t,t,743,t,5,f,0.27
99%,98%,t,t,t,208,t,4.58,t,1.03
100%,93%,t,t,t,394,t,5,f,0.13
100%,100%,f,t,t,575,t,4.56,f,0.27
100%,99%,f,t,t,216,t,4.73,t,0.3
100%,46%,t,t,t,339,t,5,f,0.35
91%,100%,f,t,t,610,t,5,t,0.09
100%,99%,f,t,t,222,t,5,t,0.07
100%,29%,f,t,t,650,t,5,f,0.18
100%,99%,f,t,t,1700,t,4.92,t,0.23
100%,99%,f,t,t,63,t,5,f,0.16
100%,97%,t,t,t,189,t,5,t,2.14
100%,100%,f,t,t,191,t,5,t,0.11
100%,100%,f,t,t,357,t,5,t,0.11
100%,98%,t,t,t,122,t,4.92,t,1.61
100%,97%,t,t,t,282,t,4.83,t,0.11
100%,99%,f,t,t,224,t,5,t,0.02
98%,68%,t,t,t,406,t,5,f,0.08
100%,85%,t,t,t,720,t,5,f,0.07
100%,86%,t,t,f,138,t,4.77,f,1.34
100%,100%,t,t,t,268,t,3.92,f,1.6
100%,99%,t,t,t,243,t,4.68,f,0.67
100%,100%,t,t,t,240,t,5,t,0.06
100%,99%,t,t,t,372,t,4.75,f,1.03
100%,96%,t,t,t,185,t,4.85,f,2.08
90%,96%,f,t,t,435,t,4,t,0.11
100%,100%,f,t,f,277,t,4,t,0.06
100%,98%,f,t,t,194,t,4.44,t,0.29
100%,98%,f,t,t,162,t,4.74,t,0.37
100%,98%,t,t,t,549,t,4,t,0.02
92%,62%,t,t,t,378,t,5,f,0.11
100%,99%,t,t,t,199,t,4.5,t,0.03
97%,73%,t,t,t,170,t,4.79,f,0.67
100%,99%,f,t,t,266,t,5,t,0.07
100%,96%,f,t,t,42,t,5,f,0.29
100%,99%,t,t,t,100,t,4.95,t,0.69
100%,100%,f,t,t,291,t,4.65,t,1.61
98%,99%,f,t,t,299,t,4.81,t,0.5
100%,94%,f,t,t,707,t,4.8,t,0.56
98%,51%,f,t,t,475,t,5,f,0.11
93%,89%,f,t,t,166,t,5,f,0.02
100%,100%,f,t,t,323,t,4.5,t,0.09
100%,89%,f,t,t,300,t,4.79,t,0.47
100%,76%,f,t,t,220,t,4.76,t,0.57
100%,84%,f,t,t,404,t,5,f,0.12
100%,100%,f,t,t,2714,t,5,f,0.01
98%,99%,f,t,t,265,t,4.56,t,0.55
100%,99%,t,t,t,340,t,5,t,0.63
100%,97%,f,t,t,171,t,4.5,t,0.43
100%,86%,t,t,t,200,t,4.79,f,0.64
100%,99%,f,t,t,199,t,4.81,t,0.9
67%,18%,f,t,t,198,t,3.4,f,0.08
100%,98%,f,t,t,210,t,4.56,t,1.89
100%,100%,f,t,t,210,t,4.9,t,1.28
91%,38%,f,t,t,135,t,4.67,f,0.79
98%,100%,f,t,t,113,t,3.67,t,0.1
100%,100%,f,t,t,172,t,4.48,f,1.67
100%,53%,t,t,t,119,t,4.85,f,0.27
100%,96%,f,t,t,115,t,5,f,0.59
100%,53%,t,t,t,149,t,4.61,f,0.32
100%,99%,t,t,t,414,t,5,t,0.45
87%,32%,t,t,t,249,t,4.97,f,1.01
98%,100%,f,t,t,85,t,3.5,t,0.16
100%,99%,f,t,t,79,t,5,t,3
100%,99%,t,t,t,341,t,4.55,t,0.35
100%,98%,t,t,t,999,t,3.67,t,0.1
100%,55%,t,t,t,326,t,4.82,f,0.44
86%,0%,f,t,t,700,t,4.87,f,0.31
98%,99%,f,t,t,169,t,4.45,t,0.37
100%,99%,f,t,t,186,t,4.15,t,0.81
100%,99%,f,t,t,293,t,4.73,t,0.39
100%,100%,t,t,t,227,t,4.6,t,0.3
100%,100%,f,t,t,799,t,4.54,t,0.23
100%,100%,f,t,t,111,t,4,t,0.48
100%,98%,t,t,t,526,t,5,t,0.04
